start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
3043.0,2989.0,18:00 - 20:00,3,"[150.0, 616.0, 497.0]",10.856,3.295,"['5b593bc97b1a9ae3e2b6ebd8c5cc22cb0cac200bb2c0bb09c5a84417506a9579_1', 'b65c6dcafc2ff77391504457427c26515e5f5bb747d609f1ab2959b6e8f145d9_1', '6b708b90626987f7ea8b3a842360c822656a324f82230cb170d5aeb6e602a5c5_1']"
3043.0,2989.0,20:00 - 22:00,2,"[732.0, 25.0]",34.712,5.892,"['a2ea7e25ce438879ae01c4606e06d22c759ce5a54223afb29f6c58561d3d6d06_1', '4f6d7f31e512eb306989eeab4f5563fd3ef0ff510b665facb8b3aaf3575db17c_1']"
3043.0,3036.0,08:00 - 10:00,2,"[234.0, 322.0]",0.538,0.733,"['cc6e128ac098bdb69219cfe618f0970bfea33a5235a772071a177c2d35769ba6_1', '691d5826aa3e040226139728adea6ff45855b643893109ad9d39645ebd6951ed_1']"
3043.0,3036.0,10:00 - 12:00,2,"[490.0, 483.0]",0.003,0.058,"['e1aae3e80d723020c72795ea7224648b918dbaf252dfba3ec205772ea0676477_1', '024b66d3be3908cf5f396df7ca030f1aed03a433e2556b754b67fa3c0512024b_1']"
3043.0,3036.0,18:00 - 20:00,3,"[275.0, 170.0, 172.0]",0.668,0.817,"['1909331df166c94bb113587a4e4af431c4dad2960291c6b4ddd765797badb52b_1', '81559405576a7edb0ea0ccc545cd5285096d92494f76428df489bf8ed0fe29e0_1', '2284a4a63f85623aa3f6fc42f6de174fe50ec17f8e6312689f206263c9623528_1']"
3043.0,3038.0,12:00 - 14:00,2,"[209.0, 170.0]",0.106,0.325,"['331e68de157523318de87d2d2a0ac9abb55eccb306cccda70349dea504ae5a4d_1', '32554214d4679b6f1b2f8d3707ab70bdb0c3273089a10296bdc032bea3b72cd5_1']"
3043.0,3040.0,12:00 - 14:00,3,"[85.0, 95.0, 186.0]",0.574,0.757,"['a2695bdad17942c6597de1e91d330191cbe3695e1e7b7aed12133440a71031d6_1', 'f0852ca404c888d1080a34710c62a4e0f71267f5bad0324984b1ef9ccaa736c8_1', 'acb0d507fa70bcfa74946851b38568d470a29abdb7f872e705d4b90bdad534a3_1']"
3043.0,3040.0,18:00 - 20:00,4,"[120.0, 90.0, 100.0, 512.0]",8.731,2.955,"['d644f6a62979bbd4e7b325c47ec06ff4d109cc692dba5a101f3842c4d9077541_1', '21b0b55393d97b59ca06f90884401ec4c707af7217da695bdc55c9031a1b79b0_1', '1f7a6d71eaf281bed5df66cf302f2dfb89fe63a81f5504e389d2109e891673a9_1', '2b89ee98bff055bcd1015d8506babf6848ac535c4f8cf56697eaebaf83d6aa62_1']"
3043.0,3077.0,14:00 - 16:00,2,"[316.0, 735.0]",12.192,3.492,"['02ec76ada3aef6ef277b8f81f27f3e6861b0b9cce1039e665cb5a0b0ef6f938a_1', 'e4b48276ebea9072b0fdefa2acd02f5094705b8ebde06f2f46ed5cdf6b2cb99f_1']"
3043.0,3077.0,16:00 - 18:00,4,"[943.0, 182.0, 288.0, 468.0]",23.597,4.858,"['10e1a24fa6e2cfcf15d47b5ea9f172afa6c7d962f1a51ebf0d12cb64d4bbee09_1', '2061be83fda9536dd264d2354893ec50db16c677540bb5ab08e49eb049a9cc18_1', 'fe590c2618a73244cf4b2c2fe5144622e63fa33adf053fecfabe0357dfcf3dce_1', 'd8606d6674e30ff6dc6ac31b028fe86f114612af2514bc3124c41d5178b5e10d_1']"
