trip_id,last_time_gap,arrived_at_merch_time_gap,last_stationary_time_gap,last_stationary_index,driver_to_merch_index
0212b0d784e79f5bec820a1fda1b08e588a46ae4aba536bf04999a965737c41a,1235.0,66.2,365.0,41,11
021b6dc4e4764b4ec6214f80966e4400c92e2fae1de6c24a11b5a229844a5f47,1817.0,110.0,338.0,49,18
0222232d0e7a289a720e498a5a135bfb982fd5617ae1aab171575fede9f830d1,960.0,187.8,625.0,71,24
02322f134fe10e1f062725f79902c033a194f12838101803cc75f98ccee65b2e,792.0,224.4,519.0,72,22
0233d392136b8a7976f7f9521d1f49622ca1a8f3cee8dfd739e6650c33926fcc,1830.0,333.0,905.0,122,57
023c6a6d4d585948a127753ade9fa50b84ddebeb56dcfded51e089ddd14f2711,2400.0,397.8,643.0,108,54
0241488148c9c66340160f67ff04020964305d4e25ff703b72cb0b2584559e6a,1816.0,156.4,170.0,31,30
02424ae219f72b1d4dd2328c71eca26253af538c84aaf40ebeebae8c31cbcd03,790.0,11.2,403.0,46,0
024a72f2fe0d48f721f6a1d15b5ea5cfcd7d2aa75bba09263ec124e18273d099,1592.0,13.4,692.0,69,0
02584dfd25f17c5dd9e068cb53cc0b0c0ea7989423c22505e88d99f474dec642,1131.0,98.4,110.0,13,7
026874174bfd79bf39eb7d58c5c68f2ca78998422abebaded0c1a855c9a81d4e,942.0,52.8,435.0,44,0
026dfed8a1cddd8416a7f10d8936f8223c6eacc4d6255f97800d37aad845001b,2285.0,330.2,1643.0,183,0
027af5a71207243d70e985421cc6cbdf2ac776ec910da1bc673ec425b9c87377,3097.0,414.4,578.0,100,68
027bfe893b87c9a0fc2f0d4f2764148a10a77324bb44c84c6cba340e72b93104,1723.0,9.4,483.0,44,0
027fa0638eb901aa8b4fae80539feef4ffd3f44603e65189f7312abed12a2df7,2338.0,16.0,1508.0,157,0
028245f695104d51873c30e9dac2c158dafc9e7b51a39af48c6d1c0489a779b7,775.0,97.6,404.0,48,10
029d13126171750b9a3596e9b486964449837e4ef102277010e9cc118f50cdde,1931.0,233.6,344.0,53,31
029f3eb3b9b815aba6e688a7da640a55aa7a66cc51d0ce286f6fbcef8a90698c,1685.0,231.2,950.0,116,37
02a84e055b69316ad50cd0667c3736043958c64c9c2e0432783eaa318596362a,2547.0,1.8,136.0,14,0
02b1dd0277e9ce654b4356fdad1b7f36b4f3238c13ab8e214bf30e62785f1363,1626.0,220.8,499.0,69,31
02b4ca49c8ef1075c8f408b28f62d63b0c7b8edddb4259394854fd05cad6cc47,2333.0,78.2,98.0,15,12
02b956d54997503a9e185001ec6c4db4c2a450ea8ba7695925e3d815af083e76,1247.0,18.2,113.0,11,0
