start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
128,45,16:00 - 18:00,2,"[1426.0, 1340.0]",0.514,0.717,"['1e68e67c24740e2ff273b1e39e9ccb8448a3477278fa931160b63952738dad32_3', 'f2ae75355ef432718a9090c96a3f6aaf567f561aa37c5a305be33147114abb00_3']"
128,50,10:00 - 12:00,4,"[470.0, 254.0, 340.0, 418.0]",1.851,1.361,"['040f8325304effd682ba10386ae17a673d288ff2571cbd4c70038ccf94692d21_1', '1ec8850a8d3ed9397d41d77ff046d08ab0a7bce07a589a82cb076434f40ba153_1', '69be7921b7f6099a3f4e540637c5703578a02f0fc33e9911f9726908a5a22051_1', '68fecc5a0c2c02d14c6e8942a7a174c29c0c2a5fcef06980aa829e96a3af3226_1']"
128,50,14:00 - 16:00,2,"[654.0, 370.0]",5.601,2.367,"['c1e5e3b0f357c717e954c42b550c3b2b0a2f64aaff5f47f7af6a34985e75c2ee_1', '559459b741a0dde6f919ef5ebb8dd9ec540a8db86357b7742011a632534eddbc_3']"
128,50,16:00 - 18:00,4,"[744.0, 747.0, 423.0, 435.0]",6.962,2.639,"['7752acf878be7c8cddbf98a411b690c814227fa1f0ff28b1ee0aed99d4c31eb5_1', 'f285b9dd01d8212c96841d43f069812232c1f123349722a8d03339a9d2c6352a_3', '8c9befd3767acab3a760744bd626101fe2c21c5dabc10215a158f49c2e771e0e_1', '8d30d83850803e8c3ddb364e5e1405081e1c28724100f6f668b1a0623494d06d_1']"
128,50,20:00 - 22:00,2,"[216.0, 175.0]",0.117,0.342,"['ee6cbe438452b4d1aa479f898dcab9f9b130cf2ae36c07be800c4adde01306a8_1', 'bc7e64e47d72f9515ac7d15c827aea05c36ad850f0bebc5542dc0c92d92f51d1_1']"
128,50,22:00 - 24:00,2,"[336.0, 275.0]",0.258,0.508,"['77bfd3567c55d8c03f08b2a164bd276c3854a3dbf49e8cf3b7b09c5ea0a83afc_1', 'f8e01d80e8c725ba9c45943e36d104e35bae18288f208122d19e9469a7e6c395_1']"
128,59,14:00 - 16:00,2,"[1105.0, 1093.0]",0.01,0.1,"['0acb1e070d7beeba4ed753c6d4ca7460eecdfc3e9bc91f003e3645f84e56057c_3', '2d71b5fb7da2fd3b5b25a4331effd084a14abbc2edb10e24cfe60bb4f0e48340_3']"
128,80,14:00 - 16:00,2,"[708.0, 770.0]",0.267,0.517,"['149ad94033d756ff81ebcfe79f76ee87ad47747afdbdeeac53f44e1149c75976_3', '385554be2facd73a6cb5304067d82d24aa6da917060d69cd37fb559543de2b95_3']"
128,112,12:00 - 14:00,2,"[901.0, 741.0]",1.778,1.333,"['f7dee251c0f25d98199bfa561f7f3cb4cc4593606af12ebca5ca0e5db56cbd3d_3', 'ff9159c9dd786cdf41737416ce6a7641d277e689d39c3274eb90defc933c7a96_3']"
128,112,18:00 - 20:00,2,"[949.0, 1029.0]",0.444,0.667,"['91ba00eb243b48e22ed49059dc444694688e6b6101fc9baaa3fbb3f96ec56764_3', 'd54ba093d07153f006c10e65563ee3cc89be9f237124b1854432df806f261cbf_3']"
