trip_id,stationary_df_lat,stationary_df_lng,pooling_df_lat,pooling_df_lng,merchant_id
7c7a8bceede52df6b72d3e0a55c76533fc58c9e48c05421ce31b6f2985032994,32.003,35.938,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
7c9d8ae6a3c88287bce5dc2b16c4fcc5f218324e064e0c5198da3c6fa845f480,32.003,35.94,32.004,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
8f7ea2e152721f0f6bf6b2c40308ff2fa1b1e765911d4ed78f68451a1ac64f1a,32.003,35.939,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
914b217d138efe51dc73f6be0e10aef22a226d213e3975b9f10d383362233671,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
91f09564c0641f919d5a1918afd8aa2c96c6051d502737d824e7cdce13a7b908,32.003,35.939,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
92fc6de56811850abf865b8a347729aaa6e7a5d468a2628c0264da9ebbfb771c,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
93d9c920db3132dd86fde476e9a70900cd35cb2df2076e17af51ec8fc538e42c,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
9714d61c66bf9f3444e5a9e6318f50577a99281050aec3423208949855f9d0c8,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
9f696edfc6dd0b1967eca1c2145e3c6b9156ea1b4b1071fd64876ac45b21ecec,32.028,35.936,32.003,35.938,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
a0f50efa2d013c905a2dc13ee196f631791a52c363c4e9e9259fcbffbe8e8de6,32.003,35.94,32.003,35.94,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
a1c7d6f001ecf379f6f3dfc6eac1d5dd3ccfc400094450f6d15c64b8882e6bc3,32.003,35.939,32.003,35.939,389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc
