merchant_id,lat_changes,lng_changes,lat_nonunique,lng_nonunique,group_size
71949f8cda610f0c3adae7d858cdba49a840edf1c1b927a5b84c7fc40a977198,0,2,{},"{35.893: 1, 35.892: 1}",24
724ebc312ffda9864bb3575cad4a85270bbe0be57be6ef93636f1537f19e4f91,2,0,"{31.905: 1, 31.904: 1}",{},6
72cbebd959f5e4facf868f84fe5d11a1f9d14ba6999d6639047793ad1c21af86,0,2,{},"{35.863: 2, 35.862: 1}",9
74f57d4de8b2e431464556a88a364e36fa78777fd24f357ab685690b5ed39ccd,0,1,{},{35.897: 1},4
74ffb9b6b30f37e1f61ecd665a182a7bc9d3e0ce2358caa0f3d7ad0048cbc61f,0,1,{},{35.837: 1},2
75d8e5225fc98abcfa10b64086292a6c5385c7c3db1457bd001492c24dda6c7a,1,0,{32.021: 1},{},2
7806fab1730878d0a0bba44582d96fb8f0798b22347d35698107f4b703686d6b,0,1,{},{35.86: 1},3
784a2a8ba3aaa0d5c156bb26719fda6f0143d234f2257e252859d6cec81267fd,0,2,{},"{35.882: 1, 35.883: 1}",4
788f754ee73c70ca562672c7fa1fe4314156ccf56ff96f9e5cea113b59cc3051,2,2,"{31.954: 2, 31.955: 2}","{35.856: 2, 35.855: 2}",17
78e17eb3011da83f314e70dad15ec5f64ac420ee5142d65075c4622296fe081d,0,1,{},{35.885: 1},2
792a8299eb5d9a482c77ed82d62aeec320984fdbc1ce1fda79ffbe25c0193f6b,1,2,{32.014: 1},"{35.868: 1, 35.869: 1}",7
79a8e5c5f53aefa01953ee1a592cce456f1f21c9fa24cf9f4218d4e55143d7d8,2,2,"{31.963: 1, 31.985: 1}","{35.883: 1, 35.859: 1}",8
79ea6c54f2f30dc62d3382c8076e3bf377dd4fdf335811ed147d1b3409c4c8c3,2,0,"{31.953: 1, 31.954: 1}",{},3
7a30c355223ba5a2b0f1391f8e402ab475a74a2f65f87b3e3db9792b5299a04c,0,1,{},{35.908: 1},2
7bbb74a9818cf821111f1fdd6928bad21931698dd8f69b17f0a5de54ad2caffa,1,1,{31.997: 1},{35.853: 1},4
7c96ddd07b5438f3391eca9589baa1d2a4bad8f9e9f7729c1e14a6e9865e5434,2,2,"{31.978: 1, 31.975: 1}","{35.882: 1, 35.883: 1}",58
7fd4f5e36abe2f1443fa46964520a24ce32c7f7c9655ee49c0373aa6a4ef8819,0,3,{},"{35.889: 1, 35.89: 1, 35.891: 1}",6
804cb14e2117be77c7549dc0f6e280ec630eb2e58bcb964ac2cb11cc2493386f,1,0,{32.049: 1},{},6
813d2e44b672dbfc3b883c23d6d3cc9b54f3e82d02959172454ecd858cc4e119,2,2,"{32.021: 1, 32.02: 1}","{35.87: 1, 35.869: 1}",10
836e779e7db33e07aa963088fb889ff6a8bea7a2166eef7e2dc0cc63866dcb3a,1,0,{31.987: 1},{},2
855201f6426c16a18706449da2076206245e733943d651ab80b10f1037efa9cc,2,2,"{31.978: 2, 31.977: 1}","{35.842: 1, 35.843: 1}",7
85bcc55f4edaf8b1555776a597b8dd1e7ee7acadab71109dd28ad0697c2758da,0,2,{},"{35.854: 1, 35.855: 1}",6
866767dacea6d9253d36c68e6ef5b58f44f35fe9fffb8e8e76010e7ce3ff2ea8,0,2,{},"{35.877: 1, 35.876: 1}",11
86e45a3b889a8110002424daad0f63c73abfc1d3cd4decbb61c24d7391a84c5c,2,0,"{31.999: 1, 32.0: 1}",{},4
8708db8db0e0f52b8d756a0b9295c331de9b5a74b9c74226bc8aa7ae6f1c2504,2,2,"{31.958: 1, 31.959: 1}","{35.865: 2, 35.866: 1}",5
8728cce80eab5a9a2260f0e993c046a75612e06f87b5c4c14b0bd35596982c3c,1,1,{32.029: 1},{35.863: 1},7
876946f2789bbec8bf6f7986a48918f607e6e2223d32547290930c375274e12e,1,1,{31.965: 1},{35.889: 1},2
