start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
4,278,16:00 - 18:00,4,"[370.0, 333.0, 191.0, 498.0]",3.323,1.823,"['26806e0bc7643c807b1144de3d118b5b17ee07c69de7ff23bc55d589ba8adf13_1', '53cf58b987b20c53da6583e59e89058bd3183e554ba2a4f004609deed4f4623e_1', '7f2b91ed8d12a3cbeb13706897a65bc21050d65fcbb13919b32f4a56bff4c45b_3', 'f188cc6e4997096c6c7a24d44dc71e02a223f6f210b13371305107280b1efb2f_1']"
4,278,18:00 - 20:00,3,"[215.0, 541.0, 385.0]",4.923,2.219,"['19990713427550de44de700de30fdd18acd1dd6af606b3f96f38cd7dc5d768db_3', '62b7a5256a51b56e8acd9efbbabe3efde62cf005bd133a93ada0d72e0fae877b_3', 'a7ca70846f6254eb025f9eefbef7d2e16fdd04f4370ab9efe3c8ea86fa527495_3']"
4,311,14:00 - 16:00,2,"[665.0, 419.0]",4.202,2.05,"['60b2326e3a7456344830b41cd9c878bedb64993ce70701126f09decaf16a35b1_3', '9e0340c6ee582d79864122125520f97dfaec3d1ca34a7fadc0fda542ead74f76_3']"
4,311,22:00 - 24:00,2,"[579.0, 672.0]",0.601,0.775,"['7555feec8ab8d0086611e5f40b03b43a9d832609998b0893e89b54aec49c4145_3', 'c544b6c2dc963e90afab8fdfd3e6a0657e1ee66a1a285264706845ab03f6bbbc_3']"
4,368,20:00 - 22:00,2,"[110.0, 135.0]",0.043,0.208,"['a701030e502d375be2d60e1e5cf598c9fc8db74934dfae8f2f6879bfcd830c6d_1', 'fe7fde0ca6417ad10657bff663faceea8b7cdc8cab7060741bc2389be789957d_1']"
4,368,22:00 - 24:00,3,"[260.0, 451.0, 105.0]",5.562,2.358,"['52d412bbbef65445aaf0012f0616e12dc50052bfef5f3f76ab2e619e8f241e52_1', '9865dd03f5c68d4d85baf3aaafa9165a4b6a8ba50cd3618061332ce1eacaadc4_1', 'a4b092555a78a50662cc58a2c9b9821a05c15630a4b5e6257ca286493563ae0b_1']"
7,212,14:00 - 16:00,2,"[260.0, 158.0]",0.722,0.85,"['07139cb45173909a84c54f082c862639893b736bb120728f2c4cd92b4d8c9227_1', 'b252e7859e6d8bf03ed25c01db4757b757e2368d296d8c04286b091052216821_3']"
7,212,22:00 - 24:00,2,"[35.0, 269.0]",3.802,1.95,"['11b58a3e9ba0099297089ccb55add5af63f34547000d4749be45e4a2dedfb7b6_1', 'cfe5cf495db550ceffc93a4bf47082679ce8f3a6db56568778073697b85a6e08_1']"
7,326,16:00 - 18:00,3,"[1645.0, 960.0, 1351.0]",21.869,4.676,"['89929f5d5e4a4c4d67b171bd0a83c18b66ed15a35fa8e3f778a21dcb0162c962_3', 'a3dd64a6e0092f4664fc8009404a61814862784741b58cec78dc3a48278c144e_3', 'af0df694b9d96d1c148d7925fa3730affd439510af0dc0860d347a2697df2828_3']"
9,100,10:00 - 12:00,2,"[125.0, 257.0]",1.21,1.1,"['6bc852cf0804254c30db4372fbc8a4a31dde00c4ea8773274700afe7915367e1_1', 'fa2dd0e17eb37c0b5ab4b65011c4de338c0f0f7e65300d86716c7bd7c28c34bf_1']"
9,100,20:00 - 22:00,2,"[279.0, 150.0]",1.156,1.075,"['2086e3d82c42611f6f0184b4c2aedd2297bf83b93310cac0e28c580391ea8e89_1', 'd50093a8e9f3a92b5063e9979c8ff14c471acab6075a1ce011ad3f28acfdb00c_1']"
9,158,14:00 - 16:00,2,"[290.0, 362.0]",0.36,0.6,"['6e4d5a53ead86314ad94d72e6dc3956568de8bed14833806abba4078b50186c1_1', '841f16394a531ac63e0e98dcbd0c65dd9a493bea6d267fc67f1a4cd6ed9aefd8_1']"
9,211,14:00 - 16:00,2,"[94.0, 170.0]",0.401,0.633,"['83bda339df20bb3c5ab6bd0f6785ae713f492d0df8cc05d2960819d3a10d98ea_1', 'b0b2e6ebc6d65c2a1b994fb62aa2b1e1b836ead03bfeee26e51e644f1841ee1f_1']"
11,56,10:00 - 12:00,3,"[384.0, 315.0, 784.0]",11.874,3.446,"['0b5aa750aed97966c0eea205b92ccf3e9fe8d33479e4c9bddb366a48fae44302_1', 'dc0e7e528e5b36886131564b25e4d46b868288e7a59de6877787540a1d1dc818_1', 'e59f2ec5c8cb2b55c6da90db3ddcac132222daf71c20c158e580ab39d918632c_1']"
11,56,16:00 - 18:00,2,"[350.0, 399.0]",0.167,0.408,"['1c48889fd5165be821a2704a2fc1c6da89c088640dc19941f8bb61241888163e_1', 'c7cd870fb6e9889182dd06439443a535eb281bcdc1ad4b7c7b1c789d1dd2d78e_1']"
