trip_id,stationary_df_lat,stationary_df_lng,pooling_df_lat,pooling_df_lng,merchant_id
190906a0da5c4b2ddfe133584fb7829aff23ac950995f69c039b8b97a7f7ef4e,31.912,35.886,31.954,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
1b9de2f9a1bd032872439529531a68b43a2a50e37bc7945e4ea0f2b0747bfc42,31.953,35.884,31.954,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
1fd773377d7b444508c2f0b424a720c33f61588b9a59d397f669c70b93f296a4,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
2962f4432a3c7aba031747646f8d3ff84c9b19b1a1c0933876308c186d4056af,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
2e0a18d23369df7fdedae34d40e86bd485dd9c12b77895dc564a270cec60a34f,31.97,35.931,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
35a52df3cccff00e9ae184366f5561cfc564afdbbb98cb73ac7473f449a7a5da,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
3785f507b19f9d37be39b34cb4db4aec4a6a94b50cd677fed47c4d2466a43092,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
3b5999c590d875cdcddce5ddb2b8b2b79648fbe6b299b055f38f94bf233f9668,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
500b2ac49beca440a06d9bcc9f8c94e97ba0b7432a04595b859646372bdd6b62,31.953,35.884,31.954,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
500ec6621adb2cddb9e33f01a4adea793d8af5f1cddbe2254806c7bb346559fa,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
6056891a8c593c4feb3bdc58fd46526c8585c85c5286082cb9d3df58336cb624,31.954,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
618ec351f32432005eef7190a5a66803b68e1502d60f253b26b84fd506c8080d,31.954,35.884,31.954,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
620afe680c7d16c3263312a0bba263e84bb7408618e01c78a105e1c02a5f69e3,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
6317432a38221bd8a775b77ceda1012225209008c4add448f5011c9f49c0b8fc,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
638773a61df398692364f06737cb4f736341035fb50037ed33b023068b9bea01,31.949,35.891,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
638de87671d14ccd6f54e00e2e84500e06d332c5f069a0fe4a090e631ff113c2,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
72941fd4a3b3ab1911a6a778488ee2094a11f38f13bbc5c36408aff03bc0ae92,31.954,35.884,31.954,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
7b8b67bad4706f9b2defe53d819fbefba48f71dfaecde560bce2024bd0cffaaf,31.953,35.885,31.954,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
8a6bcd1bf802a0da30acd6691f78f75d03703b6ac0349592146cbf4c7ae68cf0,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
8d88bdd636ea92a6fd8965e0cbb1f7376b710a5c2f27bf4fe4a3882edce02f9b,31.966,35.9,31.954,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
9072bebc885a7b361e93237b444bc93d1398110d9c3f87f87cb08f8641aacc43,31.953,35.884,31.907,35.931,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
933e521f36f789a441b245798e10b4b119cee7c7e42978696adb4d6889cbe12b,31.953,35.884,31.953,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
94fe54410c6b5fdc27c434f98c8e50c578e03fbcf83b587762f58da926baec85,31.954,35.884,31.954,35.884,3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33
