start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
-1.0,214.0,18:00 - 20:00,2,"[608.0, 175.0]",13.02,3.608,"['c87cfa78a2c1f420382ceff901b14cf23f581c42ea0f0f1b4b64fc1001f35d10_1', '5089c0bd59cc1c08a06c2b5701eb183103e0b5671a0af664d0c2db57661835ba_1']"
-1.0,214.0,22:00 - 24:00,4,"[552.0, 380.0, 89.0, 447.0]",8.2,2.864,"['95dcb343b8cb49d5d29ba47940e9822f6a6afbdd9772dae9cec6b7f8abf69e9a_3', '1c5dba34a9cac96ec6f3402addd70659ff5668aabcbca1cd5aca91e478084ee7_1', '1f43628936086be3683a1308d1b53438a67012dd893c71bc2b63fb66fdc8d83c_1', '85552909c2c1b066dc6369fa2c132c87072a216720f3ed83304b66a48f6cae1c_1']"
-1.0,216.0,08:00 - 10:00,2,"[758.0, 644.0]",0.902,0.95,"['f7bbc3e2418469ebf77fe05f01df02c3b822e9f839975d0244c87292a5ec47e4_3', 'ec2b8ddf7d296ffac5ce685f0f304a365fdf5e7bec5e7718dbe1186e4f42ff54_3']"
-1.0,217.0,14:00 - 16:00,2,"[315.0, 1415.0]",84.028,9.167,"['c67ffa508591329e97be8a087b67b19339f84656afb75fe00db8df7ebd500586_1', '68f8730ffbeb3a9436d2026a94a20f789b15152990864eeb24cda447dee03a8a_3']"
-1.0,218.0,14:00 - 16:00,2,"[943.0, 400.0]",20.476,4.525,"['8536c18f6cc4445eae6cfd1e79c287251d255aea628aea6762ec9a1c05e79e0a_3', 'b45c2745bee7d2b1f6d1fb235811acf262ec6a7a682b9e8a3ea21c7508ad8fbb_3']"
-1.0,218.0,16:00 - 18:00,2,"[922.0, 105.0]",46.353,6.808,"['23d14812572b26e5fa468a89627693cd48516d3bada7f3cc79898d6fc5b534ac_3', '9a422f5653195c8ae5c29343be5e3bef084c1e245dfb2279b0a620c777572144_3']"
-1.0,218.0,18:00 - 20:00,3,"[736.0, 95.0, 156.0]",23.179,4.814,"['74ad3bfa981d6b5d1f3fc8f6042ad343ef680501b004c3b99a2199918d370ba0_3', 'b41e3d12124d5ffcb8a967a89c5de2e30625116302176efb3d9099fa696475e6_3', '4908e88c88c4fb2e9f57c68c924bcd2706142aabc7c6a00ac4c32fd35580bca4_1']"
-1.0,245.0,12:00 - 14:00,2,"[770.0, 1474.0]",34.418,5.867,"['95d0efd798263722150f8a3a86b1f7b4ab32e16e43aaab623b8f8cd826aa81e4_3', 'a3c3ca404956a4b48320d609ef9b772d25d4057457451e520b5f80f63da046de_3']"
-1.0,246.0,08:00 - 10:00,3,"[108.0, 212.0, 764.0]",23.02,4.798,"['5f1928bd45ba0283197d2bba29b2c6849b0241335d652d6a7a7756719e01b615_1', '1f0c440b36000fbd048e2aafdc0eb360a86d886a7c94ceacc379dc6877a60aeb_1', '3aa146155e6a34033a5554c27e322dd62a59189d235b3dd343eaae313080bbee_3']"
-1.0,246.0,10:00 - 12:00,4,"[687.0, 877.0, 60.0, 200.0]",31.455,5.608,"['3355c1123df9bdca849403bb24413748f430bbe209680eb92ad9dced0c39fc27_1', 'd379f049f2e655f88d37e0d349acc7b53647ccd4f80606c0ab86babf70ddeeb4_1', '431501f9af8c4efa5813f920dfa9aa13613f583d1a717171854faca95bf746bd_1', '5ef2b13797144a162e091631a4353904b2b4f24ab550f4466ec55dcca094034d_3']"
-1.0,246.0,12:00 - 14:00,6,"[110.0, 335.0, 120.0, 220.0, 765.0, 116.0]",14.964,3.868,"['b509e14efab8e68df68126d15122ba9899eadb3bdefcf4bf879e6b77752d1da7_1', '33907bacefdfa2792acac86930a1204780429876c93c1407060bd495bfb518c2_1', '33e1dd25e4ffbd7184fee68f9b2e44738a97e36e1f7de5198b1a9068d1e9fae0_1', '2a43a9c9ec607f8185077876f31466889c788a6036ebb3a7a6054e4ce88de3b9_1', '37191419128b93aa5a493907824227d0e9b8f4c8f038b00f04f81ae00792cc77_3', 'aa0bf9a07ebc9aba6dc04cbdcd4bcdca90d6031ebaf41b90a1fecf3fd5bc74f9_1']"
-1.0,246.0,14:00 - 16:00,2,"[195.0, 354.0]",1.756,1.325,"['95e1727a33f91224fdd449f496791f113815dca2a88450865e8186c2c0e73d9b_1', '77ee2eb6c1b2bb712bc0a8d2712e67cfd68095ea8173d2db90652b8953e1c846_1']"
-1.0,246.0,16:00 - 18:00,2,"[195.0, 71.0]",1.068,1.033,"['1d861b0ebd1f91f57c5066184a82f99907c5990a3811c85485e2fc12c84a31ee_1', 'd2292bc0556fae8604ac3030e411e783dfdf9b1f17cb14d46bd01872cfe3b65b_1']"
-1.0,266.0,10:00 - 12:00,2,"[1368.0, 115.0]",109.028,10.442,"['9ce44375a6e5474fd9c0920d3299404909c41f58ce943b48fa97acafd4e20e61_1', '897dd9e7a9d26f2671e986dfdd1d1f5c1977b2f85fd0b786e2f1624cc4252e24_1']"
-1.0,266.0,16:00 - 18:00,4,"[660.0, 688.0, 77.0, 344.0]",17.421,4.174,"['7685b44ebc93b9c721fc44c5eb677298d26ead9277799601a65b81d27ff1988d_3', '81e6c2dd7ead4fcfd61a70a3398b12f98ca2afa7dee43fcb55149e0be41ae5a0_3', 'df723778287f2aec3c8ea439df944a216c78d79cc8da41e88473f54c9fd4aab1_3', 'c3dd2c642c8ab919d514ee96ed89b28d35eb0fbec05268584af0a68932195a4c_1']"
-1.0,276.0,08:00 - 10:00,2,"[155.0, 297.0]",1.4,1.183,"['1e0b7c7a8f679f5d3ebb524f19af5393f51624f434886c7d9cffc8ce383dfe14_1', '925fd8a0b7b0d1d0687d3bdbb5652507a3b915c597ce93922df605cffb033022_3']"
-1.0,276.0,12:00 - 14:00,4,"[210.0, 160.0, 1357.0, 100.0]",75.463,8.687,"['8367e93cbf87d299d10a79160527feaa273d831a04300fd198f88c525c2ce21c_3', 'd7dd9a75df9a4ace40dc11b6eca1205e01f8e4ff2a8e4bfd3b30bebad613cdf2_1', '2c6ad946d9e9eb808aa59d272f1a44ef49149f9cce6ee5a21fd8dae9ed4916a8_3', '3a1e24ffb0953c9bfa4e944ac70be55684287bf76ba3e4c8b19599b437bcaab0_1']"
-1.0,276.0,18:00 - 20:00,3,"[180.0, 190.0, 1168.0]",59.652,7.723,"['4003a3bdef154b13578c12edcfb7461752684ce8e65ab34c958a7ea498caa264_1', '194d68bd5a64f1a6c4829aa3f955c7d336622063b4c7a9dddaf024f9ea4414b1_1', '50ff775929c43c9b07b09b99441ca748d85c500c629768995ccfc684da6f4ed6_3']"
-1.0,279.0,12:00 - 14:00,2,"[736.0, 265.0]",15.406,3.925,"['190d4e7b0cbaf2fa9c3e0fd9b9e43f7955ee147cbd2f106df332c801bcf7e92c_3', '00a6eb14b910e49bfb6d9dcea5747d2cb87e07d1a5dfe7e400165012d6e4671d_3']"
-1.0,280.0,18:00 - 20:00,2,"[935.0, 136.0]",44.333,6.658,"['4c18111627b0fede75f05909eb9b518ec41cbd3d828f415315e822d70dbf4203_3', '5a99733771cf08dde83a07bc7c4505822440319e791beda55acfc2d7269a328c_3']"
-1.0,307.0,12:00 - 14:00,4,"[70.0, 229.0, 180.0, 140.0]",0.941,0.97,"['4de2fd5e2f39ed5d86c8c03b184345e3940ffaebad2f42c8c259ca774c5ed1c6_1', '8c12379f3988dda79647023db45bc5e85e583af7df7e9a0aa0d1893301477591_1', '38f075c0e695ee528b56f9b7cb2a1fd080beb1a050ceedf1e9f424db4311ac29_3', 'af84e4c062fa13370957d2dac00320cc7e271c697677d5e08fc8f11358a7fb42_1']"
-1.0,307.0,14:00 - 16:00,2,"[110.0, 142.0]",0.071,0.267,"['bc2908f1e704a5678cce36c5527ab6d106ccd2fc5478c12fccb35eac531006c6_1', '9b4654cf45f2ae869c31da966bbdb8ce39d80ca2370c5fcc32e2df96c5bf60f8_1']"
