trip_id,start_idx,end_idx,pickup_lat,pickup_lng,time_elapsed
d44e65d9f79e73469ee7d561dae67aa318085ce8d24cb7c065ea5884f3953426,37,83,31.995,35.871,282.0
d507421663607fae4d6d3d7210356b03ab36d37b3e53edb01a8ef5252ee2e658,29,164,32.022,35.873,1175.0
db70ec20eb41052b286997933da04d7ae462be4a7a5413e9a116c34da3e465ab,0,101,31.986,35.925,859.0
e0c6399f9c0de628bade9c99d5c2f0b7d3e78081c59ea89e2268f7d8fe845280,6,81,31.93,35.937,519.0
e18a018b2ac2c1ad5dd36a0946b00520243cf726d759d515f3a4dc860d8bcd57,55,181,31.974,35.854,1559.0
e23b2ab622fd3e0aef389a73ff2ed9e860643186dfb6f2016741ce6fca73c585,162,182,31.912,35.934,132.0
ec0286dc18471dfaf418922d48c55f7ec72f1e528954b80fc707705137fb5a21,0,56,31.916,35.91,515.0
f01f5f9ddc73c41afad46682bccac8a38ccfad813cd19c7bacbde98ae8b96cff,0,74,31.994,35.87,741.0
f82b6c7a45db4fd93e76d73881343d2aeeec3fefb876401a4b9380c9ad3cf37d,1,147,31.948,35.892,1052.0
fa6b7eb2ad64f486573baa30ab3c34142698a76df756a5a402513a307d0d957c,46,113,31.954,35.884,596.0
fea906e38c5b48df2a7dcc0571798308dc90dc7e55dea9305e030186c8e5f941,111,157,31.971,35.904,285.0
